Chr	Peak_pos	-log10(FDR-adjusted-pvalue)_Coverage_Genotype	-log10(FDR-adjusted-pvalue)_Coverage_Tissue	-log10(FDR-adjusted-pvalue)_Coverage_Interaction	Feature_type	Gene
chr2L	11950052	0.4799	8.59194	3.03374	Intergenic	CG16964
chr2L	11952604	1.08572	15.8814	0.319779	TTS	bft
chr2L	11956234	1.22827	18.3187	0.217956	TTS	bft
chr2L	11959814	0.683093	17.3542	0.761295	non-coding	bft
chr2L	11961548	0.68152	13.3064	1.84908	non-coding	bft
chr2L	11963703	0.273152	15.1798	1.65359	intron	lncRNA:CR43314
chr2L	11966278	0.748658	21.1373	0.154683	intron	lncRNA:CR43314
chr2L	11968754	0.658513	18.8961	2.07614	intron	lncRNA:CR43314
chr2L	11971094	0.315672	18.9504	1.29699	promoter-TSS	lncRNA:CR43314
chr2L	11983487	0.259635	4.13365	0.0784976	TTS	CG16965
chr2L	11988096	0.03128	2.63141	1.26574	promoter-TSS	CG6686
chr2L	11989935	0.462185	10.191	1.90498	promoter-TSS	dgt2
chr2L	11990731	2.96753	4.60026	1.1468	promoter-TSS	escl
chr2L	12009025	0.316534	10.1226	0.0456441	exon	Rh5
chr2L	12009713	0.0636792	9.40102	0.423852	3'UTR	Rh5
chr2L	12010339	0.0364409	3.37097	1.48019	TTS	Rh5
chr2L	12010772	0.076953	4.07008	1.41761	TTS	Rh5
chr2L	12011327	0.274827	6.16381	0.981018	Intergenic	lncRNA:CR44588
chr2L	12011658	0.386203	7.76761	0.996195	Intergenic	lncRNA:CR44588
chr2L	12011968	0.315422	7.8674	0.659641	Intergenic	lncRNA:CR44588
chr2L	12013772	0.182201	17.1883	1.00285	TTS	lncRNA:CR44588
chr2L	12020903	0.197227	4.14736	0.654891	promoter-TSS	Wdr81
chr2L	12021697	1.57688	16.7306	0.339473	promoter-TSS	Wdr81
chr2L	12026510	1.23904	18.5546	0.480796	promoter-TSS	dmGlut
chr2L	12027425	0.364119	18.4079	0.960703	promoter-TSS	dmGlut
chr2L	12027646	0.489664	19.352	0.625987	5'UTR	dmGlut
chr2L	12038411	1.57973	2.53387	1.82643	promoter-TSS	Tom70
chr2L	12040620	0.756478	0.484287	1.16402	promoter-TSS	CG6766
chr2L	12045464	0.351312	5.87337	1.68761	promoter-TSS	CG6785
chr2L	12045912	0.2323	2.98343	1.34162	promoter-TSS	CG6770
chr2L	12053523	1.05441	16.254	0.081537	intron	JhI-21
chr2L	12056138	0.221821	5.89531	1.58227	promoter-TSS	JhI-21
chr2L	12063118	0.131286	5.80491	0.44948	promoter-TSS	Rab3-GAP
chr2L	12064432	0.278752	7.61758	0.313241	exon	Rab3-GAP
chr2L	12064805	0.299038	4.77739	0.413565	intron	Rab3-GAP
chr2L	12065093	0.628377	9.33862	0.0669735	intron	firl
chr2L	12065896	2.02461	15.5121	1.09689	5'UTR	firl
chr2L	12066289	2.13679	18.0953	1.04794	5'UTR	firl
chr2L	12076504	0.509136	13.7413	1.20916	intron	CG14947
chr2L	12078502	0.194216	9.92545	1.80168	TTS	lncRNA:CR44591
chr2L	12079922	0.445477	8.80071	1.18902	TTS	lncRNA:CR44591
chr2L	12085942	0.888315	15.6343	1.83785	promoter-TSS	prd
chr2L	12093871	0.285847	0.640188	2.06888	exon	Pex19
chr2L	12096564	0.0274253	1.52847	0.674128	promoter-TSS	Mt2
chr2L	12097970	0.202276	3.22142	0.813414	TTS	Ced-12
chr2L	12103563	1.19755	8.80354	0.644718	promoter-TSS	ThrRS
chr2L	12103875	0.257191	6.6919	1.08263	promoter-TSS	ThrRS
chr2L	12109001	0.04273	4.36444	1.07536	promoter-TSS	Rab6
chr2L	12110578	0.958907	16.5616	0.188013	promoter-TSS	Phae2
chr2L	12113194	0.718465	19.1885	0.573522	TTS	CG17211
chr2L	12114193	1.03578	22.1924	0.00125029	promoter-TSS	CG17211
chr2L	12117291	0.223937	10.7129	9.65002	intron	CG17211
chr2L	12119867	1.11413	13.5403	0.513131	intron	CG17211
chr2L	12123686	0.67189	12.5443	3.34899	intron	CG17211
chr2L	12125010	0.257056	12.8303	0.818716	5'UTR	rho-6
chr2L	12129224	0.320481	6.06034	0.243075	exon	rho-6
chr2L	12131121	0.458502	9.41757	0.607756	intron	rho-6
chr2L	12177701	0.861622	10.0918	3.61648	promoter-TSS	atilla
chr2L	12182048	0.775292	9.35077	0.694058	intron	atilla
chr2L	12193275	0.405527	11.2003	2.06526	intron	bru1
chr2L	12200070	0.684436	9.83523	0.556437	intron	bru1
chr2L	12207906	0.42777	15.7716	0.513754	promoter-TSS	CG31759
chr2L	12210679	1.11719	14.2761	0.166357	TTS	CG31759
chr2L	12216484	0.287865	17.1095	0.558723	intron	bru1
chr2L	12240471	0.134612	15.0942	0.507393	intron	bru1
chr2L	12244624	0.0194096	15.6942	0.40975	intron	bru1
chr2L	12271829	0.348677	13.044	0.746862	exon	bru1
chr2L	12272564	0.830799	16.1678	0.0335934	intron	bru1
chr2L	12281804	0.192236	16.4795	1.04451	intron	bru1
chr2L	12294877	1.15456	16.7435	0.552161	intron	bru1
chr2L	12304572	1.57007	5.30895	0.901139	exon	lncRNA:CR45282
chr2L	12309638	0.183226	9.8126	2.02103	intron	lncRNA:CR45282
chr2L	12310168	1.11813	13.9831	0.210759	intron	lncRNA:CR45282
chr2L	12315142	0.49838	4.22079	5.07485	TTS	lncRNA:CR45282
chr2L	12343696	0.615836	11.3613	0.497269	promoter-TSS	bru2
chr2L	12347508	0.104112	9.92999	0.284897	promoter-TSS	bru2
chr2L	12347756	0.0792612	9.45674	1.79732	promoter-TSS	bru2
chr2L	12349750	0.161341	13.4614	0.709677	intron	bru2
chr2L	12352428	0.578334	9.71416	0.460678	exon	CG17010
chr2L	12352720	0.332192	8.2099	1.96994	exon	CG17010
chr2L	12359864	0.0110445	14.1721	1.00746	intron	CG17010
chr2L	12366206	0.869213	15.9631	1.39554	promoter-TSS	bru2
chr2L	12367336	0.253399	11.3166	4.21772	intron	bru2
chr2L	12369731	0.553255	17.2494	1.60131	promoter-TSS	bru2
chr2L	12374820	0.179633	14.4176	0.884148	intron	bru2
chr2L	12375683	0.164059	12.6863	1.74254	intron	bru2
chr2L	12378127	0.033989	16.0934	0.55683	intron	bru2
chr2L	12386491	0.560146	16.145	0.970767	intron	Pkd2
chr2L	12403166	0.273583	5.63267	4.83895	TTS	vir-1
chr2L	12404623	1.22295	4.96677	7.45512	promoter-TSS	vir-1
chr2L	12410456	0.287464	12.6766	1.33825	intron	vir-1
chr2L	12410806	1.25373	10.8933	1.38264	intron	vir-1
chr2L	12414786	0.581939	11.7661	0.519884	intron	vir-1
chr2L	12415970	0.341623	7.00955	2.38241	intron	vir-1
chr2L	12417773	0.704291	10.9636	0.0324783	intron	vir-1
chr2L	12424022	0.474978	15.8244	3.74095	promoter-TSS	vir-1
chr2L	12424524	0.0317364	10.1759	5.06123	promoter-TSS	CG6405
chr2L	12424812	0.127036	7.81892	1.52299	promoter-TSS	CG6405
chr2L	12427817	0.027783	0.0419268	1.81424	promoter-TSS	CG5446
chr2L	12434578	0.496215	1.66753	0.808913	promoter-TSS	SC35
chr2L	12435378	2.37836	1.08019	0.131313	promoter-TSS	eRF3
chr2L	12436434	0.710084	6.27162	0.567557	promoter-TSS	eRF3
chr2L	12480206	0.608212	14.1986	0.949329	intron	bun
chr2L	12481000	0.919401	18.4929	0.224913	intron	bun
chr2L	12483495	0.22205	4.73042	1.04318	promoter-TSS	bun
chr2L	12484350	0.259572	5.85233	1.93756	promoter-TSS	bun
chr2L	12491893	0.627499	6.04084	0.0749792	5'UTR	bun
chr2L	12492319	2.87393	13.2529	0.5681	5'UTR	bun
chr2L	12497813	0.622956	12.8486	1.21715	promoter-TSS	t-cup
chr2L	12501345	0.419078	15.138	1.41977	intron	bun
chr2L	12501840	0.0142851	14.3403	1.64755	intron	bun
chr2L	12504988	0.624212	12.2752	1.67796	promoter-TSS	bun
chr2L	12507807	3.10832	16.7641	0.195856	promoter-TSS	lncRNA:CR43051
chr2L	12510107	0.159754	10.0846	0.597918	intron	snoRNA:CG43051-a
chr2L	12510586	0.194368	13.5706	1.43732	intron	snoRNA:CG43051-a
chr2L	12512689	0.522162	10.455	0.773862	intron	snoRNA:CG43051-a
chr2L	12514050	0.728741	15.3522	1.81461	intron	snoRNA:CG43051-a
chr2L	12515498	0.328197	15.5534	4.1184	intron	snoRNA:CG43051-a
chr2L	12520516	0.132014	0.950642	2.21741	intron	snoRNA:CG43051-a
chr2L	12521150	2.87983	9.57073	0.745982	intron	snoRNA:CG43051-a
chr2L	12521777	0.468194	7.74044	0.867411	intron	snoRNA:CG43051-a
chr2L	12523800	0.399778	7.90008	1.64172	intron	snoRNA:CG43051-a
chr2L	12524201	0.745181	14.0126	0.63596	intron	snoRNA:CG43051-a
chr2L	12528276	0.433873	8.12358	2.23968	intron	bun
chr2L	12529202	0.177734	4.70713	2.6388	intron	bun
chr2L	12529815	0.12172	6.24689	4.68407	intron	bun
chr2L	12530565	2.00541	13.7659	0.203013	intron	bun
chr2L	12533955	2.12402	12.5327	0.0519189	intron	bun
chr2L	12535324	1.50267	12.305	0.675123	intron	bun
chr2L	12535793	1.22765	12.3281	0.662935	intron	bun
chr2L	12536801	0.425372	10.2984	0.423944	exon	bun
chr2L	12540507	0.827122	8.5801	1.82689	5'UTR	bun
chr2L	12543364	0.47385	8.49186	1.0315	non-coding	lncRNA:CR42746
chr2L	12546492	0.225549	1.75511	1.78396	5'UTR	bun
chr2L	12568648	1.96886	15.1315	0.100743	Intergenic	lncRNA:CR44598
chr2L	12578550	0.487104	16.0622	1.01337	Intergenic	lncRNA:CR44596
chr2L	12587220	0.286558	18.2332	0.884459	promoter-TSS	nub
chr2L	12594061	0.424877	14.6082	0.859195	exon	nub
chr2L	12594392	0.455587	14.3493	1.21402	exon	nub
chr2L	12594708	0.550857	14.1635	1.06491	intron	nub
chr2L	12597884	0.416274	17.4431	0.779237	intron	nub
chr2L	12598177	0.579464	18.6681	0.299303	intron	nub
chr2L	12602010	0.152509	20.0763	0.0105551	intron	Ref2
chr2L	12604852	0.0977344	14.204	1.23759	intron	Ref2
chr2L	12605135	0.288362	16.1938	0.324654	intron	Ref2
chr2L	12605369	0.0863155	14.0602	1.47012	intron	Ref2
chr2L	12605978	0.287374	16.5641	0.299379	intron	Ref2
chr2L	12610121	0.617552	16.7321	0.308014	TTS	Ref2
chr2L	12611842	0.815222	14.9961	0.419141	promoter-TSS	Ref2
chr2L	12618229	0.325699	3.23219	1.7132	promoter-TSS	nub
chr2L	12623339	0.19009	14.5047	0.355938	intron	nub
chr2L	12623778	0.0537519	15.3029	0.681939	intron	nub
chr2L	12626250	0.998715	14.6447	0.0872557	exon	nub
chr2L	12628746	0.550094	12.0608	0.682792	TTS	nub
chr2L	12635136	0.249891	17.743	0.648025	intron	Ref2
chr2L	12635537	0.364476	17.8756	1.6114	intron	Ref2
chr2L	12635760	0.0931754	17.0162	1.0355	intron	Ref2
chr2L	12637440	0.769148	14.4202	0.424806	intron	Ref2
chr2L	12640814	0.376491	17.143	0.546289	intron	Ref2
chr2L	12641111	0.373488	16.5718	0.666748	5'UTR	Ref2
chr2L	12646682	0.391413	16.8613	0.297786	promoter-TSS	Ref2
chr2L	12649026	0.416753	14.1342	0.359304	Intergenic	Ref2
chr2L	12651515	0.738707	17.2924	0.278925	Intergenic	Ref2
chr2L	12655914	0.232624	10.3591	0.376562	Intergenic	pdm2
chr2L	12657786	0.0792701	16.6605	1.35292	promoter-TSS	pdm2
chr2L	12660638	0.0331726	12.4685	2.02242	exon	pdm2
chr2L	12664525	0.359766	14.0931	0.150847	intron	Nepl7
chr2L	12665132	0.484327	13.4272	0.276331	intron	Nepl7
chr2L	12678465	0.298593	10.1891	1.15428	promoter-TSS	pdm2
chr2L	12692795	0.0455537	2.41272	0.745425	promoter-TSS	CCT4
chr2L	12695027	0.0858282	5.86978	0.529807	promoter-TSS	PICK1
chr2L	12718871	2.00529	14.0549	1.56498	promoter-TSS	MRP
chr2L	12719259	1.47959	14.0243	0.603598	intron	MRP
chr2L	12720358	0.622979	12.7568	2.09246	intron	MRP
chr2L	12722068	0.5657	4.37393	1.66362	promoter-TSS	MRP
chr2L	12745346	0.953367	6.02235	0.591991	TTS	CG15483
chr2L	12754755	0.275233	16.0803	0.0243927	intron	CG15483
chr2L	12757622	0.0614483	14.147	0.767628	intron	CG15483
chr2L	12762915	0.440369	12.9365	0.690605	intron	CG15483
chr2L	12802595	0.336017	12.3675	1.03675	Intergenic	lncRNA:CR43818
chr2L	12803307	0.708269	10.2357	2.81744	Intergenic	lncRNA:CR43818
chr2L	12815976	0.149501	2.74938	6.06435	Intergenic	kek1
chr2L	12816452	0.17706	5.38975	2.15855	TTS	kek1
chr2L	12817054	0.140219	7.25	1.71043	TTS	kek1
chr2L	12822862	0.211526	0.602538	10.2983	promoter-TSS	kek1
chr2L	12823901	0.097945	11.5114	13.7672	Intergenic	kek1
chr2L	12824304	0.0146339	11.7329	6.92897	Intergenic	kek1
chr2L	12834242	0.116229	8.04953	9.02972	Intergenic	lncRNA:CR44970
chr2L	12836548	0.324485	7.63785	7.9284	Intergenic	lncRNA:CR44970
chr2L	12837176	0.240297	7.54601	10.0083	Intergenic	lncRNA:CR44970
chr2L	12837476	0.197707	9.39691	10.5998	Intergenic	lncRNA:CR44970
chr2L	12841067	0.105752	15.2068	1.98422	promoter-TSS	lncRNA:CR44970
chr2L	12841384	0.0894695	15.7884	2.22429	promoter-TSS	lncRNA:CR44971
chr2L	12842085	0.0587805	10.6182	13.6861	TTS	lncRNA:CR44971
chr2L	12843986	0.357843	13.8955	0.662347	Intergenic	lncRNA:CR44971
chr2L	12847341	0.0725457	14.6797	0.627315	Intergenic	lncRNA:CR44971
chr2L	12848531	0.0800513	0.827863	3.10085	Intergenic	lncRNA:CR44971
chr2L	12850394	0.436736	12.7028	2.23659	Intergenic	lncRNA:CR44971
chr2L	12854709	0.202565	7.90143	11.08	Intergenic	lncRNA:CR44971
chr2L	12868006	0.360532	11.4318	1.50656	Intergenic	lncRNA:CR44971
chr2L	12891922	0.355026	13.3165	1.36416	Intergenic	ACXC
chr2L	12910893	0.817658	15.6604	0.882539	Intergenic	ACXC
chr2L	12962520	0.557236	14.5481	0.55805	Intergenic	CG16800
chr2L	12963022	0.30186	12.8229	1.09973	Intergenic	CG16800
chr2L	12965922	0.50583	10.1326	1.21012	promoter-TSS	CG16800
chr2L	12966159	1.05911	9.05799	1.53878	promoter-TSS	CG16800
chr2L	12972855	0.550543	7.44597	0.614346	Intergenic	Vha68-2
chr2L	12974606	0.255171	18.1637	1.60888	promoter-TSS	Vha68-2
chr2L	13004310	0.1411	4.51695	0.650615	promoter-TSS	Tor
chr2L	13012777	0.176274	6.21975	1.02075	TTS	CG9934
chr2L	13014431	0.0075467	5.23311	2.25167	exon	CG9934
chr2L	13019040	0.0210017	8.90943	0.839385	TTS	CG9934
chr2L	13021449	0.826495	7.69398	0.911974	promoter-TSS	A16
chr2L	13030846	0.273218	11.7022	0.550775	exon	A16
chr2L	13032846	0.0212365	13.6853	0.976937	intron	A16
chr2L	13035509	0.24745	16.126	1.52741	intron	A16
chr2L	13035986	0.351914	16.1947	1.99681	intron	A16
chr2L	13037854	0.157804	9.2927	4.0788	intron	A16
chr2L	13039214	0.377215	11.8455	1.82017	intron	A16
chr2L	13041896	0.153239	9.24788	1.90461	intron	CG9932
chr2L	13042425	0.357344	8.85018	4.12025	intron	CG9932
chr2L	13042758	0.231673	9.19996	4.36831	intron	CG9932
chr2L	13044232	0.808151	18.3989	1.08591	intron	CG9932
chr2L	13049273	0.183076	13.7177	1.94947	intron	CG9932
chr2L	13060366	0.184696	4.83541	1.72962	promoter-TSS	CG9932
chr2L	13062953	1.78249	14.1438	1.02478	Intergenic	CG9932
chr2L	13063244	1.21485	14.276	1.28887	Intergenic	CG9932
chr2L	13068433	0.471709	6.73932	0.599363	Intergenic	CG9932
chr2L	13069287	0.107773	5.41327	1.29661	Intergenic	CG9932
chr2L	13070048	0.322546	14.8913	3.68639	Intergenic	CG9932
chr2L	13071125	0.873257	8.18084	6.75212	Intergenic	CG9932
chr2L	13071372	0.136346	5.75752	2.93102	Intergenic	CG9932
chr2L	13072063	0.0792306	13.2657	1.10615	Intergenic	CG9932
chr2L	13072670	0.199762	14.5094	0.701972	Intergenic	CG9932
chr2L	13074820	0.160821	7.28592	2.68131	Intergenic	CG9932
chr2L	13075284	0.246711	2.59246	5.43322	Intergenic	lncRNA:CR44197
chr2L	13077680	0.8951	8.89593	2.09795	Intergenic	lncRNA:CR44197
chr2L	13078664	0.996146	11.3535	0.0592382	Intergenic	lncRNA:CR44197
chr2L	13078939	0.685349	8.74196	0.535459	Intergenic	lncRNA:CR44197
chr2L	13081268	0.344731	16.1246	0.665164	Intergenic	lncRNA:CR44197
chr2L	13081670	0.463507	15.5296	0.197615	Intergenic	lncRNA:CR44197
chr2L	13083468	0.323679	11.2052	1.53328	Intergenic	lncRNA:CR44197
chr2L	13084654	0.386162	10.9007	2.99521	Intergenic	lncRNA:CR44197
chr2L	13085244	0.252811	1.99003	2.57513	Intergenic	lncRNA:CR44197
chr2L	13085586	0.209038	6.29508	1.72164	Intergenic	lncRNA:CR44197
chr2L	13087060	0.441191	14.5522	1.15879	Intergenic	lncRNA:CR44197
chr2L	13088688	0.341623	17.061	0.0513778	Intergenic	lncRNA:CR44197
chr2L	13090067	1.62757	11.6977	2.0901	non-coding	lncRNA:CR44197
chr2L	13090886	0.387714	10.3938	1.03952	TTS	lncRNA:CR44197
chr2L	13091272	1.13491	7.07722	3.92374	TTS	lncRNA:CR44197
chr2L	13093025	0.760233	15.6277	1.82027	Intergenic	lncRNA:CR44197
chr2L	13095562	0.560146	8.94861	1.64639	Intergenic	lncRNA:CR45447
chr2L	13095965	0.106196	11.9335	2.17925	Intergenic	lncRNA:CR45447
chr2L	13097353	0.262903	7.20113	5.0624	TTS	lncRNA:CR45447
chr2L	13098432	0.822509	8.09016	1.83785	Intergenic	lncRNA:CR45447
chr2L	13100026	0.609276	14.1398	1.04177	Intergenic	lncRNA:CR45447
chr2L	13101455	0.174689	13.031	2.39822	Intergenic	lncRNA:CR45461
chr2L	13102620	1.01575	15.0852	1.38878	Intergenic	lncRNA:CR45461
chr2L	13104892	0.174833	9.80868	2.6704	non-coding	lncRNA:CR45461
chr2L	13105292	0.21557	9.20612	2.86924	TTS	lncRNA:CR45461
chr2L	13113504	1.4723	11.8902	4.12828	Intergenic	lncRNA:CR44198
chr2L	13113819	0.72952	4.81851	5.20464	Intergenic	lncRNA:CR44198
chr2L	13116001	0.820479	7.08789	5.26303	Intergenic	lncRNA:CR44198
chr2L	13117118	2.4207	9.57161	0.531632	Intergenic	lncRNA:CR44198
chr2L	13119381	0.120789	11.4938	2.21473	promoter-TSS	CG43050
chr2L	13122010	0.564508	13.4421	1.65103	Intergenic	CG43050
chr2L	13127836	0.557187	14.1798	0.61908	Intergenic	CG5122
chr2L	13129595	0.0791945	10.5397	6.26469	promoter-TSS	CG5122
chr2L	13135522	1.36324	8.56614	2.49532	TTS	CG5122
chr2L	13137352	0.992903	9.45153	8.5735	Intergenic	CG9928
chr2L	13137924	1.50969	11.2074	2.18964	Intergenic	CG9928
chr2L	13138556	1.05394	1.31297	2.89111	Intergenic	CG9928
chr2L	13139656	0.592817	3.18626	3.40741	Intergenic	CG9928
chr2L	13140000	0.892524	5.0402	1.42109	Intergenic	CG9928
chr2L	13145534	1.19885	9.78424	1.4835	Intergenic	lncRNA:CR44199
chr2L	13146743	0.199084	12.0077	1.66491	non-coding	lncRNA:CR44199
chr2L	13148734	0.246901	15.3782	0.386076	Intergenic	lncRNA:CR44199
chr2L	13149309	0.381389	12.4422	1.06359	Intergenic	lncRNA:CR44199
chr2L	13149565	0.235196	11.2633	0.983479	Intergenic	lncRNA:CR44199
chr2L	13154614	1.32462	18.7948	0.211719	Intergenic	Pk34A
chr2L	13156267	0.706572	11.1914	1.48753	Intergenic	Pk34A
chr2L	13156554	1.04217	10.6018	0.519864	Intergenic	Pk34A
chr2L	13158036	0.281391	5.52112	0.759842	promoter-TSS	Pk34A
chr2L	13165304	0.158823	5.98587	0.855644	promoter-TSS	Sirt1
chr2L	13165702	0.425772	7.44172	0.843789	promoter-TSS	Sirt1
chr2L	13176984	0.275874	0.0735392	0.695181	promoter-TSS	CG5439
chr2L	13179327	0.496875	1.73435	0.186941	promoter-TSS	CG5287
chr2L	13182524	0.194051	8.89759	1.09214	promoter-TSS	CG31849
chr2L	13191817	0.892097	0.963982	0.129724	promoter-TSS	CG16974
chr2L	13198264	0.604229	4.42075	0.178012	TTS	CG16972
chr2L	13203536	0.456715	0.177551	1.02517	promoter-TSS	Pect
chr2L	13203965	0.411436	3.7974	1.61076	promoter-TSS	Pect
chr2L	13205384	0.418709	9.29919	2.56552	intron	Pect
chr2L	13206507	0.616454	15.8567	0.097311	intron	Pect
chr2L	13207280	0.503064	15.7726	0.212585	intron	Pect
chr2L	13212078	3.47487	10.4422	0.639902	promoter-TSS	snRNA:U2:34ABa
chr2L	13215892	0.536332	6.9866	0.890432	promoter-TSS	snRNA:U2:34ABb
chr2L	13219819	0.933899	3.75496	0.840579	promoter-TSS	CG9426
chr2L	13222444	0.338144	2.77191	0.673797	promoter-TSS	Ski6
chr2L	13244551	0.290564	13.5755	1.94832	promoter-TSS	snRNA:U2:34ABb
chr2L	13246088	0.478027	15.77	0.312867	promoter-TSS	CG16820
chr2L	13247838	0.713873	12.0301	4.46991	intron	CG16820
chr2L	13250440	0.639963	15.9002	0.586466	TTS	l(2)k05911
chr2L	13251912	0.351848	14.129	2.12816	5'UTR	l(2)k05911
chr2L	13253502	0.27666	13.2465	1.60712	intron	l(2)k05911
chr2L	13257523	0.462622	15.118	0.262313	promoter-TSS	Naa20B
chr2L	13266959	0.139161	15.208	3.61258	promoter-TSS	CG44085
chr2L	13270068	0.618646	13.0736	2.25834	intron	CG44085
chr2L	13272694	0.569349	14.1535	0.345019	exon	CG44085
chr2L	13286580	0.156429	0.358716	1.43186	promoter-TSS	Drep4
chr2L	13287783	0.263836	15.6768	0.30146	TTS	Uvrag
chr2L	13290156	0.487255	3.23818	1.40467	promoter-TSS	CG31729
chr2L	13290618	0.698478	8.06099	1.95496	promoter-TSS	CG31729
chr2L	13292651	0.478881	20.4228	0.0346673	promoter-TSS	CG16824
chr2L	13296488	0.72952	7.81557	0.693419	5'UTR	CG31729
chr2L	13300335	0.200756	9.29254	0.771171	exon	CG31729
chr2L	13300569	0.22595	7.3882	1.27455	exon	CG16825
chr2L	13302201	0.80257	8.66521	0.316339	TTS	CG16825
chr2L	13302416	0.285499	6.23494	0.887198	TTS	CG16825
chr2L	13322271	0.057002	14.5854	0.876906	intron	CG43778
chr2L	13322530	0.138158	14.936	0.737193	intron	CG43778
chr2L	13331366	0.447786	13.1845	2.84043	promoter-TSS	CG43778
chr2L	13331767	0.478027	15.7597	1.77322	promoter-TSS	CG43778
chr2L	13332423	1.65687	13.0823	1.92551	Intergenic	CG43778
chr2L	13332848	1.75773	11.3446	2.58268	Intergenic	CG43778
chr2L	13340790	0.318739	1.81148	3.58584	Intergenic	CG16826
chr2L	13341315	0.658629	6.31476	4.36831	Intergenic	CG16826
chr2L	13349569	1.92719	9.50148	3.87579	TTS	CG16826
chr2L	13354957	0.0766718	16.2027	0.620302	5'UTR	CG9395
chr2L	13363149	2.07737	5.4226	1.05501	TTS	CG9377
chr2L	13366301	0.464204	6.2813	1.12319	promoter-TSS	Nnp-1
chr2L	13367527	0.447448	5.96139	0.832757	promoter-TSS	Tap42
chr2L	13369307	0.5356	3.04658	0.891473	TTS	CG31855
chr2L	13370993	0.146092	3.15225	0.326522	promoter-TSS	ND-B22
chr2L	13373993	0.507109	8.51763	1.02892	promoter-TSS	CG6565
chr2L	13378740	0.0503349	5.37951	1.98618	promoter-TSS	beta'COP
chr2L	13393293	0.471155	10.7136	0.673098	TTS	RpL24
chr2L	13395132	0.537446	8.59447	1.34481	promoter-TSS	RpL24
chr2L	13399021	0.162782	8.5613	0.832796	promoter-TSS	CG7110
chr2L	13399769	0.175952	11.0561	1.24509	promoter-TSS	asRNA:CR44600
chr2L	13400788	0.53094	18.0836	0.210037	promoter-TSS	asRNA:CR44600
chr2L	13402655	0.0607193	7.62611	2.311	intron	asRNA:CR44600
chr2L	13411560	0.286918	15.3836	1.52946	promoter-TSS	Vm34Ca
chr2L	13412606	0.0934485	13.2481	0.487391	promoter-TSS	CG16848
chr2L	13412962	0.0180186	8.42649	2.84385	TTS	CG16848
chr2L	13413568	0.0228411	8.06349	1.35076	TTS	CG16956
chr2L	13414558	0.00291979	11.4254	2.01334	promoter-TSS	CG16956
chr2L	13415296	0.0604777	13.969	3.02614	promoter-TSS	CG43850
chr2L	13419121	0.0697599	11.5911	1.99121	promoter-TSS	CG43850
chr2L	13420950	0.303503	13.0631	1.27911	TTS	CG43850
chr2L	13426425	0.160245	15.1793	1.53122	intron	CG43850
chr2L	13430116	0.236498	11.987	1.01882	intron	Tehao
chr2L	13430447	0.123952	12.7091	1.9696	intron	Tehao
chr2L	13430772	0.347087	14.5438	1.11605	intron	Tehao
chr2L	13431011	0.33717	14.9644	1.10436	intron	Tehao
chr2L	13440799	0.296745	9.42206	3.18479	TTS	asRNA:CR45683
chr2L	13443550	0.205749	8.87908	0.30782	TTS	asRNA:CR45683
chr2L	13445557	0.44705	8.00374	0.98985	promoter-TSS	Hacd2
chr2L	13457343	1.14489	15.884	0.311465	promoter-TSS	CG42809
chr2L	13459216	1.01381	3.47344	13.6639	promoter-TSS	CG42810
chr2L	13461524	0.0100419	14.8374	2.14712	promoter-TSS	CG46308
chr2L	13466554	0.264036	15.6059	1.04332	intron	CG42784
chr2L	13471639	0.124138	14.141	1.29551	intron	CG42784
chr2L	13478408	0.269491	13.7142	1.13736	intron	CG42784
chr2L	13482447	0.501295	17.1118	0.164852	intron	CG42784
chr2L	13495214	0.0950597	12.562	1.3956	promoter-TSS	CG42784
chr2L	13500718	1.13892	9.34516	0.919535	TTS	CG42784
chr2L	13502254	0.286199	6.94838	0.146092	TTS	CG42784
chr2L	13506355	0.407432	7.91284	0.655077	exon	CG42784
chr2L	13507728	1.25095	14.5747	0.274385	intron	CG42784
chr2L	13510043	2.15172	17.079	0.375313	intron	CG42784
chr2L	13510448	0.255935	14.3485	0.702229	intron	CG42784
chr2L	13511526	0.42692	16.5209	1.00081	intron	CG42784
chr2L	13513240	0.407865	12.4233	0.442935	exon	CG33640
chr2L	13514007	0.259629	10.8794	1.19127	intron	CG33640
chr2L	13514344	0.476229	10.4731	2.52343	intron	CG33640
chr2L	13517564	0.205749	9.24774	1.52299	intron	CG33640
chr2L	13519222	0.0897641	9.2568	2.15871	intron	CG33640
chr2L	13521723	0.94539	11.4849	1.36445	intron	CG33640
chr2L	13527920	0.888315	9.35097	2.0133	promoter-TSS	CG33640
chr2L	13534408	0.235398	13.4023	1.35816	TTS	CG15638
chr2L	13534763	0.236074	13.9025	0.890242	TTS	CG15638
chr2L	13536590	0.356847	13.3064	1.20526	promoter-TSS	CG15638
chr2L	13539523	0.0291979	15.0411	0.968704	intron	CG16852
chr2L	13547938	0.603021	16.53	1.16635	promoter-TSS	B4
chr2L	13548333	0.48905	18.657	0.795729	promoter-TSS	B4
chr2L	13549197	0.707232	3.31939	2.14595	promoter-TSS	B4
chr2L	13549537	0.317683	2.24624	3.50953	promoter-TSS	B4
chr2L	13549831	0.135285	1.65645	2.69362	promoter-TSS	kuz
chr2L	13550319	0.0640846	4.38865	0.289881	promoter-TSS	kuz
chr2L	13552417	0.183363	12.8427	1.61332	intron	kuz
