Chr Peak_pos -log10(FDR-adjusted-pvalue)_Coverage_Genotype -log10(FDR-adjusted-pvalue)_Coverage_Tissue -log10(FDR-adjusted-pvalue)_Coverage_Interaction Feautre_type Gene
chr2L 18797816 0.0723535 14.6038 0.557276 promoter-TSS lncRNA:CR44904
chr2L 18806210 0.173751 13.5316 0.561755 Intergenic lncRNA:CR44904
chr2L 18811302 1.23033 18.2283 1.35026 promoter-TSS lncRNA:CR43817
chr2L 18813202 0.89959 16.8035 0.0619774 promoter-TSS CG10570
chr2L 18818710 0.0363013 15.055 1.65296 intron CG42305
chr2L 18823625 0.613846 16.4645 1.83509 promoter-TSS-Ugt36F1
chr2L 18831006 0.345593 5.18817 1.49836 promoter-TSS-Ugt36D1
chr2L 18839544 0.416768 6.54566 1.14367 promoter-TSS CG17597
chr2L 18844717 2.10954 9.3273 3.10461 TTS CG10600
chr2L 18845156 2.38585 13.1751 2.92285 promoter-TSS CG33120
chr2L 18845422 1.95541 17.7132 1.68354 promoter-TSS CG17321
chr2L 18846078 1.23607 21.1128 0.455523 promoter-TSS CG17321
chr2L 18846545 0.124058 20.3362 0.674327 intron CG17321
chr2L 18851075 0.0145796 17.8177 1.40711 intron CG17321
chr2L 18852052 0.130868 17.0037 0.677991 intron CG17321
chr2L 18857782 0.343566 6.20978 2.09394 intron CG10602
chr2L 18859218 0.0278762 1.90151 2.54517 promoter-TSS CG10602
chr2L 18866922 0.538551 18.5383 0.652819 promoter-TSS mRpL13
chr2L 18867964 2.01232 15.5764 0.279833 TTS mir-4946
chr2L 18869388 0.655667 19.808 0.522571 promoter-TSS mir-4946
chr2L 18871637 0.0770006 19.2328 1.60604 intron mir-4946
chr2L 18871882 0.240533 19.0471 0.688545 intron mir-4946
chr2L 18874214 0.317072 18.0513 0.613047 intron mir-4946
chr2L 18874682 0.883384 20.0429 0.0960606 intron tup
chr2L 18875154 0.151404 18.0543 1.38228 intron tup
chr2L 18876194 0.0187406 16.2196 1.19354 intron tup
chr2L 18881494 0.0898072 8.71371 2.16629 intron tup
chr2L 18882709 0.664202 14.0045 0.179441 promoter-TSS tup
chr2L 18887180 1.245 14.7393 0.314426 Intergenic tup
chr2L 18887908 0.10594 12.6592 0.872421 Intergenic tup
chr2L 18889517 0.32594 12.8638 2.09925 Intergenic lncRNA:CR44737
chr2L 18889804 0.464849 14.3393 1.79006 Intergenic lncRNA:CR44737
chr2L 18890426 0.117177 16.9025 0.520136 Intergenic lncRNA:CR44737
chr2L 18894863 0.0148789 19.6671 0.353475 Intergenic lncRNA:CR44737
chr2L 18898279 0.523058 13.8323 0.541471 non-coding lncRNA:CR44737
chr2L 18898661 0.215093 15.7874 0.846184 Intergenic lncRNA:CR44739
chr2L 18899283 0.555097 16.233 0.279644 TTS lncRNA:CR44739
chr2L 18900878 0.676844 19.1123 0.226329 TTS lncRNA:CR44739
chr2L 18901265 0.696547 16.6394 0.868962 promoter-TSS lncRNA:CR44739
chr2L 18907562 0.339269 15.7269 1.89919 promoter-TSS lncRNA:CR44739
chr2L 18936364 0.173153 5.48249 2.39233 TTS lncRNA:CR44738
chr2L 18944227 0.453045 5.55282 2.28161 intron ssp3
chr2L 18944559 0.463271 10.9932 1.90301 promoter-TSS ssp3
chr2L 18946444 0.141452 21.9543 1.36306 promoter-TSS ssp3
chr2L 18947102 0.350804 19.533 1.85693 TTS CG46304
chr2L 18947786 0.161088 16.886 2.27447 TTS CG46304
chr2L 18948184 0.290372 18.0834 2.85062 TTS CG10428
chr2L 18948813 0.153145 13.3696 2.46977 promoter-TSS CG10428
chr2L 18951823 0.200383 4.09993 1.68679 promoter-TSS CG10428
chr2L 18954362 1.17739 14.4432 0.454094 promoter-TSS Nedd8
chr2L 18957292 0.375863 11.0568 10.422 promoter-TSS CG10621
chr2L 18965859 0.428186 19.9825 0.338689 promoter-TSS CG10623
chr2L 18966371 0.382335 20.8558 0.586428 intron Nak
chr2L 18966734 1.32001 17.1911 2.05117 intron Nak
chr2L 18967054 0.960185 14.126 2.02337 intron Nak
chr2L 18968745 0.485301 1.20638 1.34526 intron Nak
chr2L 18974464 0.433095 3.98797 2.00813 promoter-TSS Nak
chr2L 18980959 1.69428 10.2137 0.122415 promoter-TSS L2HGDH
chr2L 18981525 0.453011 7.08246 0.627485 intron CG10431
chr2L 18981727 0.630012 8.134 0.251274 intron Swip-1
chr2L 18982081 1.24755 7.35917 0.342116 intron Swip-1
chr2L 18982431 1.02718 10.3702 1.21185 intron Swip-1
chr2L 18983075 0.592769 14.2466 1.0259 intron Swip-1
chr2L 18984409 0.567637 12.5727 1.99803 intron Swip-1
chr2L 18985948 0.200383 12.537 1.35666 intron Swip-1
chr2L 18987483 0.202502 0.665998 0.70605 intron Swip-1
chr2L 18996058 0.526279 7.63796 3.12335 promoter-TSS Swip-1
chr2L 19003414 8.17398 1.57376 12.1113 promoter-TSS CG10650
chr2L 19009304 0.513781 2.47965 2.36637 promoter-TSS CG31793
chr2L 19012197 0.310317 18.3982 1.08541 promoter-TSS RpL30
chr2L 19012449 0.191969 18.1869 1.68065 TTS lncRNA:CR45292
chr2L 19014791 0.200634 18.8184 1.08811 TTS lncRNA:CR45292
chr2L 19015298 0.255814 16.6996 3.66291 Intergenic lncRNA:CR45292
chr2L 19019477 0.0405399 16.1276 2.7035 Intergenic lncRNA:CR45292
chr2L 19022000 0.0136423 11.9657 3.19268 TTS lncRNA:CR44184
chr2L 19024139 0.0648161 16.1054 2.03995 promoter-TSS CG15172
chr2L 19024633 0.189775 17.6727 0.676985 TTS lncRNA:CR43700
chr2L 19027460 1.01293 20.2236 0.479084 promoter-TSS lncRNA:CR43700
chr2L 19033578 0.272562 1.99973 1.18483 promoter-TSS Sidpn
chr2L 19033970 0.527804 2.61565 0.553277 promoter-TSS hook
chr2L 19034852 0.337428 1.85119 1.34588 promoter-TSS hook
chr2L 19036597 0.738509 16.2737 0.130829 promoter-TSS mib2
chr2L 19041932 0.707183 7.45896 0.219505 intron mib2
chr2L 19045252 0.266531 2.22238 0.509436 promoter-TSS Catsup
chr2L 19049185 0.689828 4.5352 0.766 promoter-TSS Acn
chr2L 19051857 0.487125 1.86568 1.34526 TTS CG10470
chr2L 19054272 0.334677 0.884275 1.01609 promoter-TSS Rpn3
chr2L 19058187 0.28275 17.0336 0.538407 TTS CG10492
chr2L 19059142 1.076 15.9433 0.769706 promoter-TSS Phlpp
chr2L 19063376 0.666839 2.52974 0.305324 promoter-TSS Phlpp
chr2L 19064988 0.422417 2.22068 1.0069 promoter-TSS CG10495
chr2L 19068766 1.62084 18.0529 0.13588 promoter-TSS CG17343
chr2L 19070070 0.917967 17.0561 2.11975 5'-UTR
chr2L 19072076 1.22633 16.6212 0.156746 promoter-TSS CG10702
chr2L 19077204 1.60692 6.57938 0.630336 intron CG17572
chr2L 19083687 0.250802 17.0416 1.96447 TTS CG10700
chr2L 19108715 0.435758 12.1729 1.32857 promoter-TSS Lim3
chr2L 19109013 1.09179 16.7519 0.180298 promoter-TSS lncRNA:CR44905
chr2L 19111277 0.557807 18.8499 1.26472 promoter-TSS lncRNA:CR44905
chr2L 19111558 0.955921 19.2478 0.743347 promoter-TSS amd
chr2L 19112088 0.0324311 17.9784 0.928124 promoter-TSS amd
chr2L 19114426 0.673143 3.62127 0.975091 exon amd
chr2L 19119014 0.689547 13.7572 0.210064 promoter-TSS CG10561
chr2L 19120153 0.52124 15.8115 3.05894 intron Ddc
chr2L 19120548 0.323142 15.3388 3.28721 5'-UTR
chr2L 19120838 0.331686 13.473 2.776 promoter-TSS Ddc
chr2L 19121413 0.67448 11.2426 1.58931 promoter-TSS Ddc
chr2L 19121742 2.57257 10.5827 0.745846 TTS Ddc
chr2L 19123855 0.808128 2.37849 0.743079 TTS Ddc
chr2L 19127108 0.429339 2.53876 1.26484 promoter-TSS37Cc 
chr2L 19132093 0.559633 2.1338 0.692874 promoter-TSS37Cb 
chr2L 19133720 0.73925 3.73914 1.54539 promoter-TSS AsnRS
chr2L 19133986 0.88123 6.21606 1.24411 promoter-TSS brat
chr2L 19134865 0.828183 6.24761 1.44392 promoter-TSS brat
chr2L 19135178 0.470719 3.18539 2.2931 intron37Cg 
chr2L 19136800 0.239917 18.2336 3.34112 promoter-TSS37Cg 
chr2L 19141179 0.00705244 17.0742 4.28048 intron37Cg 
chr2L 19141950 0.00089625 18.7349 4.12689 intron37Cg 
chr2L 19142290 0.0196566 19.5226 2.48786 intron37Cg 
chr2L 19144072 0.354423 16.0885 4.58157 intron37Cg 
chr2L 19145461 1.7811 8.80758 1.57059 intron37Cg 
chr2L 19146194 1.00886 15.2497 1.83877 intron37Cg 
chr2L 19146878 1.38178 19.3017 0.107396 intron37Cg 
chr2L 19147138 0.646219 17.2669 2.92801 intron37Cg 
chr2L 19155030 0.517012 22.8065 0.25223 intron brat
chr2L 19156829 1.21318 16.204 1.9097 intron brat
chr2L 19158414 0.530869 4.79971 1.20314 intron brat
chr2L 19158667 0.289015 3.49961 1.81424 promoter-TSS brat
chr2L 19159963 0.421064 14.6317 1.11933 5'-UTR
chr2L 19161922 0.372345 17.8211 2.14261 promoter-TSS lncRNA:CR44977
chr2L 19162319 0.184887 17.1017 5.42047 intron lncRNA:CR44977
chr2L 19162854 0.428634 17.8685 2.60716 intron lncRNA:CR44977
chr2L 19165178 1.39815 17.8555 0.356654 intron brat
chr2L 19165816 0.879867 15.2277 1.3494 promoter-TSS brat
chr2L 19171126 0.88123 12.2584 0.491049 promoter-TSS brat
chr2L 19175177 0.590083 11.9208 0.177597 exon brat
chr2L 19175614 0.0905193 10.5532 0.341587 3'-UTR
chr2L 19179163 0.0828783 5.86238 6.97316 3'-UTR
chr2L 19180138 10.5535 6.70103 1.36319 TTS CG17568
chr2L 19180406 7.52501 5.62251 0.786023 TTS CG17568
chr2L 19181646 0.287064 4.26432 11.3904 TTS CG17568
chr2L 19186154 0.226004 6.51103 1.22083 promoter-TSS CG17568
chr2L 19190329 0.200383 6.02835 1.53572 promoter-TSS pigeon
chr2L 19192906 0.373719 11.2353 0.805684 promoter-TSS drl
chr2L 19193921 0.109604 14.292 1.16802 intron drl
chr2L 19196541 0.15624 14.0521 1.24997 intron drl
chr2L 19196872 0.622862 16.3177 0.475742 intron drl
chr2L 19198539 0.0908919 12.0951 1.19553 intron drl
chr2L 19199506 0.650188 14.9271 0.751197 intron drl
chr2L 19199793 0.244591 15.1604 0.994294 intron drl
chr2L 19201802 0.515857 18.5237 1.16383 intron drl
chr2L 19202868 0.181042 14.6213 1.15622 intron drl
chr2L 19203561 0.483293 13.0648 0.157083 intron drl
chr2L 19204553 0.077726 14.731 0.378224 intron lncRNA:CR46209
chr2L 19204884 3.86564 19.1536 0.00630001 intron lncRNA:CR46209
chr2L 19209035 0.0778643 15.4044 1.29794 intron lncRNA:CR46209
chr2L 19209392 0.296985 15.3164 0.373875 TTS lncRNA:CR46209
chr2L 19209925 0.0107732 13.5361 0.69849 TTS lncRNA:CR46209
chr2L 19210540 0.187131 15.4758 0.65568 Intergenic lncRNA:CR46209
chr2L 19213391 0.513987 3.58577 3.45031 Intergenic lncRNA:CR46209
chr2L 19213829 1.01029 10.0771 1.56235 Intergenic lncRNA:CR46209
chr2L 19214098 1.56033 12.0946 1.03928 Intergenic lncRNA:CR46209
chr2L 19215800 5.24971 13.4418 3.74272 Intergenic lncRNA:CR46209
chr2L 19216025 7.32201 11.5094 8.68748 non-coding lncRNA:CR46209
chr2L 19216377 0.145208 15.2896 3.41547 TTS lncRNA:CR46209
chr2L 19217441 2.13997 8.95802 3.1385 TTS lncRNA:CR46209
chr2L 19218294 0.845172 12.5433 0.642785 promoter-TSS lncRNA:CR44189
chr2L 19220452 0.223589 11.1356 2.22894 TTS lncRNA:CR44189
chr2L 19221630 0.601274 11.1541 0.878527 Intergenic lncRNA:CR44189
chr2L 19222953 2.32562 14.8369 0.47376 Intergenic lncRNA:CR44189
chr2L 19226186 0.485776 19.8743 0.436142 Intergenic lncRNA:CR44189
chr2L 19227199 0.620156 13.2423 0.300251 Intergenic lncRNA:CR44189
chr2L 19228988 0.419125 13.2932 1.82691 Intergenic lncRNA:CR44189
chr2L 19229223 0.689658 15.935 0.456028 Intergenic lncRNA:CR44189
chr2L 19230262 0.482694 17.506 2.17398 Intergenic lncRNA:CR44189
chr2L 19232986 0.833145 6.72367 0.606682 Intergenic lncRNA:CR44189
chr2L 19233524 0.22881 8.55717 1.8435 Intergenic lncRNA:CR44189
chr2L 19234247 0.117069 6.65413 1.19585 Intergenic lncRNA:CR44189
chr2L 19235467 0.783767 8.28726 0.836105 Intergenic lncRNA:CR44189
chr2L 19235883 0.431968 10.5579 0.838001 Intergenic lncRNA:CR44189
chr2L 19240794 0.323083 11.9632 1.27335 Intergenic lncRNA:CR44189
chr2L 19244791 0.351578 14.8131 0.862112 Intergenic CG31797
chr2L 19246058 0.347485 10.3675 1.58261 Intergenic CG31797
chr2L 19248815 1.23691 10.7716 0.567262 Intergenic CG31797
chr2L 19250897 0.324931 11.8777 1.23366 Intergenic CG31797
chr2L 19251350 0.115065 13.4394 1.25102 Intergenic CG31797
chr2L 19252638 0.535727 4.2965 5.82957 Intergenic CG31797
chr2L 19254241 0.206346 16.207 0.301275 Intergenic CG31797
chr2L 19255570 1.46321 14.4791 0.0322354 Intergenic CG31797
chr2L 19263601 0.890126 13.0135 0.743416 Intergenic CG31797
chr2L 19265357 0.0528919 7.28368 1.02104 TTS lncRNA:CR44191
chr2L 19265705 0.469677 8.53254 1.77386 Intergenic lncRNA:CR44191
chr2L 19271057 0.338564 7.07693 1.21421 Intergenic lncRNA:CR44191
chr2L 19273248 6.44939 1.4726 0.908448 intron lncRNA:CR44190
chr2L 19274910 0.435296 9.63396 1.6576 promoter-TSS lncRNA:CR44190
chr2L 19277549 0.288749 7.33113 1.79867 Intergenic lncRNA:CR44190
chr2L 19278045 0.529425 10.7262 1.23565 Intergenic lncRNA:CR44190
chr2L 19280496 0.195473 15.446 1.16173 Intergenic lncRNA:CR44190
chr2L 19282182 0.601837 16.5614 0.831944 Intergenic lncRNA:CR44190
chr2L 19285138 0.0511854 10.7196 1.30656 Intergenic lncRNA:CR44190
chr2L 19289590 0.643588 12.4184 0.261081 Intergenic lncRNA:CR44190
chr2L 19291866 1.75218 12.2053 3.41419 Intergenic CG17564
chr2L 19292572 0.848019 11.6259 1.50308 Intergenic CG17564
chr2L 19295750 0.0163789 4.72326 0.797125 Intergenic CG17564
chr2L 19304074 0.288369 9.2512 1.34779 Intergenic CG17564
chr2L 19307060 0.0852318 15.9637 1.37021 Intergenic CG10750
chr2L 19308199 0.665658 8.23252 0.600049 Intergenic CG10750
chr2L 19310858 0.792705 16.761 0.557033 Intergenic CG10750
chr2L 19311746 0.192719 15.2857 1.07084 Intergenic CG10750
chr2L 19312740 0.357341 11.7574 0.450602 Intergenic lncRNA:CR45700
chr2L 19313199 0.175862 7.17989 1.09891 Intergenic lncRNA:CR45700
chr2L 19313511 0.530918 2.49046 1.24022 Intergenic lncRNA:CR45700
chr2L 19314712 0.53833 7.19789 1.95798 Intergenic lncRNA:CR45700
chr2L 19318122 0.116345 6.28879 3.9632 Intergenic lncRNA:CR45700
chr2L 19322290 0.236068 20.4861 0.576329 Intergenic lncRNA:CR45700
chr2L 19323530 0.423629 18.5359 1.76813 promoter-TSS lncRNA:CR45700
chr2L 19324030 0.376228 14.8502 1.04898 non-coding lncRNA:CR45700
chr2L 19328076 0.725915 16.5048 0.321985 non-coding lncRNA:CR45700
chr2L 19329288 0.361945 14.749 1.2055 TTS lncRNA:CR45258
chr2L 19330585 0.247651 6.33557 0.270326 Intergenic lncRNA:CR45258
chr2L 19332053 0.311199 12.424 0.749149 Intergenic lncRNA:CR45258
chr2L 19334372 0.358244 7.23487 1.17803 Intergenic lncRNA:CR45258
chr2L 19334799 0.300502 11.848 0.731524 Intergenic lncRNA:CR45258
chr2L 19335069 0.370172 11.6226 0.519842 Intergenic lncRNA:CR45258
chr2L 19337152 0.15019 6.23914 1.62075 Intergenic lncRNA:CR45258
chr2L 19338040 3.54518 7.09961 4.72946 Intergenic lncRNA:CR45258
chr2L 19341304 0.141987 14.0266 2.48785 TTS lncRNA:CR45258
chr2L 19341586 0.428271 16.4862 1.60703 intron lncRNA:CR45258
chr2L 19342545 1.06784 14.7103 0.478968 intron lncRNA:CR45258
chr2L 19345573 9.27246 11.6482 2.23543 intron lncRNA:CR45258
chr2L 19360152 0.009015 17.8691 0.955129 intron dnt
chr2L 19360505 0.113808 15.8967 1.57807 intron dnt
chr2L 19361798 0.711827 9.28014 9.62879 intron dnt
chr2L 19362064 0.30063 5.78072 8.90436 intron dnt
chr2L 19363117 0.322078 9.37678 1.15252 intron dnt
chr2L 19363441 0.851886 5.29453 1.58838 5'-UTR
chr2L 19368890 0.444272 15.2126 0.171635 promoter-TSS dnt
chr2L 19375936 0.0578324 6.32423 1.65106 Intergenic CG17349
chr2L 19376929 0.995548 16.4187 0.23799 Intergenic CG17350
chr2L 19378751 0.819608 11.9166 6.99542 Intergenic CG17350
chr2L 19389478 0.482694 19.1526 1.2882 Intergenic CG17350
chr2L 19393889 0.640313 14.2494 0.839868 TTS CG17549
chr2L 19398409 0.390074 8.39832 2.48283 promoter-TSS CG17544
chr2L 19398752 3.67054 11.0296 1.05914 promoter-TSS CG17544
chr2L 19403393 0.352082 17.2223 0.681637 promoter-TSS CG17544
chr2L 19404135 0.225972 9.1316 1.03261 TTS snmRNA:359
chr2L 19411016 0.440513 9.59703 0.50786 promoter-TSS snmRNA:359
chr2L 19413059 1.20372 8.14299 0.69197 promoter-TSS Pax
chr2L 19414260 0.997911 16.1605 1.29102 intron Pax
chr2L 19417060 8.61841 11.3616 2.03659 intron Pax
chr2L 19420097 0.310789 15.2365 0.945775 promoter-TSS Lectin-galC1
chr2L 19423834 0.16846 14.1193 1.65741 TTS lectin-37Db
chr2L 19425265 0.251062 15.2312 1.69665 promoter-TSS Alp12
chr2L 19425532 0.253219 14.2597 0.560202 intron Alp12
chr2L 19426509 0.216496 1.58805 2.36971 promoter-TSS Alp12
chr2L 19430681 0.235013 7.24977 0.406526 promoter-TSS Alp12
chr2L 19432681 1.23438 7.9811 1.5733 promoter-TSS RtcB
chr2L 19433448 0.7585 12.3134 2.1139 TTS Rab9
chr2L 19439214 0.394306 20.255 2.08032 intron Rab9
chr2L 19439901 0.839813 18.4363 1.13935 promoter-TSS CG10237
chr2L 19440942 0.351219 16.3155 0.893013 promoter-TSS CG10237
chr2L 19444918 0.693152 2.09558 2.65374 promoter-TSS CG10237
chr2L 19446952 0.0678967 16.2186 0.253326 promoter-TSS RanGAP
chr2L 19453379 0.239047 3.00645 1.45434 TTS RanGAP
chr2L 19453797 0.028318 16.2412 1.52421 promoter-TSS Top2
chr2L 19463149 0.30975 16.5947 3.11685 promoter-TSS Top2
chr2L 19463388 0.328835 17.604 1.61569 Intergenic tj
chr2L 19464046 0.40831 13.9575 2.36991 promoter-TSS tj
chr2L 19472536 0.00832806 20.0015 1.39456 promoter-TSS tj
chr2L 19473786 0.573804 20.205 0.262759 promoter-TSS lncRNA:CR43839
chr2L 19479478 0.968817 18.3951 0.796546 Intergenic lncRNA:CR43839
chr2L 19479808 0.681663 19.1178 1.13789 Intergenic CG10195
chr2L 19484621 0.35555 16.7599 0.242694 Intergenic CG10195
chr2L 19487367 0.642233 14.4606 0.312511 promoter-TSS CG10195
chr2L 19490217 0.392729 11.3305 3.14447 promoter-TSS CG13083
chr2L 19493370 0.378086 1.03156 1.08851 promoter-TSS CG18094
chr2L 19498224 0.465937 8.78288 0.806891 promoter-TSS CG10189
chr2L 19508647 0.392518 2.46972 2.18179 promoter-TSS Top3alpha
chr2L 19516457 0.450953 19.7079 0.554196 TTS CG10188
chr2L 19517603 2.0933 7.27729 1.81488 exon Hasp
chr2L 19519502 0.863404 20.4052 1.17608 promoter-TSS Hasp
chr2L 19519803 1.57216 18.4441 0.881867 promoter-TSS CG10132
chr2L 19526517 0.102708 3.01998 1.28569 intron CG10132
chr2L 19528512 0.238887 20.0577 1.22312 promoter-TSS CG10166
chr2L 19530235 0.451136 17.5997 0.202231 promoter-TSS CG10165
chr2L 19533342 0.293577 11.759 3.01487 promoter-TSS CG10165
chr2L 19533623 0.341308 6.20439 1.25692 promoter-TSS CG33116
chr2L 19538204 0.738051 15.852 0.53606 TTS CG33116
chr2L 19542658 0.527603 2.22731 1.24434 promoter-TSS CG13082
chr2L 19547122 0.532431 19.1777 1.0554 5'-UTRP
chr2L 19548383 1.50575 17.8164 0.896545 promoter-TSS CG10337
chr2L 19549716 2.79642 22.609 0.412521 promoter-TSS Tep4
chr2L 19558045 0.487241 11.9579 3.91526 promoter-TSS Tep4
chr2L 19561384 5.71024 9.15591 13.7062 promoter-TSS Tep5
chr2L 19562486 7.57442 8.23659 10.5834 exon CG13078
chr2L 19563354 9.13378 8.12465 10.9314 exon CG13078
chr2L 19565722 1.58095 11.4442 2.09159 promoter-TSS CG13078
chr2L 19571886 0.470259 9.01931 2.24366 promoter-TSS CG13077
chr2L 19572420 0.222643 6.37983 1.75755 intron spi
chr2L 19572912 0.387829 11.958 2.12737 intron spi
chr2L 19575450 0.773669 4.54074 1.1931 promoter-TSS spi
chr2L 19575818 0.0216054 3.90112 4.13038 intron spi
chr2L 19576380 0.370916 2.10774 1.31394 promoter-TSS spi
chr2L 19577152 0.546581 1.24253 1.44205 promoter-TSS spi
chr2L 19580515 0.657927 10.0999 1.69028 promoter-TSS spi
chr2L 19582363 0.0307839 5.71731 1.14497 promoter-TSS CG10268
chr2L 19584138 0.247774 3.37076 2.58399 TTS Hakai
chr2L 19586769 0.659347 13.9254 0.918603 promoter-TSS CG10366
chr2L 19587046 0.323308 8.39214 1.94891 promoter-TSS Lar
chr2L 19587361 0.076828 2.96428 2.50931 promoter-TSS Lar
chr2L 19590550 1.9136 7.88438 3.8474 TTS Lar
chr2L 19605722 0.0455592 16.2275 3.41378 intron Lar
chr2L 19606092 0.307338 18.9614 2.05211 promoter-TSS lncRNA:CR44978
chr2L 19612570 1.66434 9.61779 0.588307 promoter-TSS Lar
chr2L 19617814 0.0309699 14.8346 1.84196 intron Lar
chr2L 19634540 2.34388 6.89365 0.103579 intron Lar
chr2L 19634786 1.30243 8.05019 0.813549 intron lncRNA:CR44979
chr2L 19642371 0.613234 9.70782 11.2127 intron lncRNA:CR44979
chr2L 19643747 0.0242693 6.58831 1.32654 TTS lncRNA:CR44979
chr2L 19647311 0.526391 9.57261 0.478361 intron lncRNA:CR44979
chr2L 19647913 0.524609 11.0683 0.88323 intron lncRNA:CR44979
chr2L 19651519 0.196188 9.87047 0.818336 intron lncRNA:CR44979
chr2L 19653408 3.04858 13.0703 1.02399 intron lncRNA:CR44979
chr2L 19654733 1.6456 10.3195 1.133 intron lncRNA:CR44979
chr2L 19669018 8.12071 10.1959 1.88215 intron lncRNA:CR44979
chr2L 19675244 0.381743 5.08078 2.0796 intron lncRNA:CR44979
chr2L 19690669 0.14409 12.1405 1.0121 intron scw
chr2L 19696884 0.339666 14.0803 0.411948 intron scw
chr2L 19713250 0.798137 14.7877 1.41759 intron scw
chr2L 19717499 1.09063 6.33839 3.57667 intron scw
chr2L 19721672 1.4165 8.88696 2.18176 intron scw
chr2L 19722566 2.50388 8.40618 2.19854 intron CG10462
chr2L 19723250 5.91618 15.1954 0.693056 intron CG10462
chr2L 19723594 0.334884 14.8958 0.42479 intron CG10462
chr2L 19730102 0.572979 9.74016 0.667286 intron CG10462
chr2L 19732972 1.17008 12.4956 0.105655 exon CG10462
chr2L 19735929 1.31377 17.1584 1.7053 TTS CG10462
chr2L 19741128 3.70984 2.10575 11.6009 promoter-TSS CG10462
chr2L 19742454 2.37692 16.8624 1.97793 Intergenic Nf-YB
chr2L 19755186 0.159133 17.2115 1.61291 TTS Nf-YB
chr2L 19756325 0.250971 15.8482 1.12697 intron CG10631
chr2L 19756757 0.342608 9.39008 1.79094 TTS CG10631
chr2L 19758738 0.0238342 2.03486 1.14016 TTS CG10631
chr2L 19764436 0.751193 20.6517 2.71967 promoter-TSS CG10628
chr2L 19769885 0.088999 19.3181 0.883565 promoter-TSS fbp
chr2L 19785440 0.127636 11.0499 0.477592 promoter-TSS bsh
chr2L 19786089 0.198792 12.3358 0.48214 intron CdGAPr
chr2L 19787280 1.26336 20.3969 0.191312 intron CdGAPr
chr2L 19788800 0.173088 13.2549 2.33087 intron CdGAPr
chr2L 19791817 0.808825 3.28742 1.73608 intron CdGAPr
chr2L 19795736 0.663721 7.95909 2.67422 promoter-TSS CdGAPr
chr2L 19800193 0.0676926 17.1006 0.283971 promoter-TSSltoPP43 
chr2L 19802312 1.23948 11.8116 0.627296 intron sick
chr2L 19809843 0.766233 19.0715 1.53417 intron sick
chr2L 19812540 1.03732 13.7611 1.87192 promoter-TSS snRNA:U4:38AB
chr2L 19817378 0.862691 11.7665 1.62792 promoter-TSS snRNA:U2:38ABb
chr2L 19820136 0.19457 19.7085 0.86685 TTS snRNA:U5:38ABb
chr2L 19846302 0.622579 11.0277 2.16632 intron snRNA:U5:38ABb
chr2L 19848323 1.95623 16.6456 0.300718 intron sick
chr2L 19851257 6.48445 13.8774 0.749747 intron sick
chr2L 19865732 0.126417 17.7737 3.68336 intron sick
chr2L 19869732 0.0385156 18.938 1.74674 promoter-TSS sick
chr2L 19871371 0.316439 11.0739 2.47305 intron sick
chr2L 19872318 0.489834 12.3601 1.64123 intron sick
chr2L 19873795 0.192722 13.7778 0.230451 intron sick
chr2L 19875196 0.107222 7.41751 1.51416 intron sick
chr2L 19877404 0.524234 10.4088 1.89939 intron sick
chr2L 19880423 0.608993 2.50745 0.521233 intron sick
chr2L 19880797 0.441689 7.46238 0.68174 intron CG10481
chr2L 19883613 2.22427 11.1825 0.680765 intron CG10481
chr2L 19884318 1.08773 11.5454 1.49415 intron CG10481
chr2L 19884666 0.651061 8.2887 1.76125 intron CG10481
chr2L 19887610 2.77201 0.316244 3.70859 intron CG10481
chr2L 19895740 1.27028 3.71541 1.78436 intron CG10481
chr2L 19897254 0.0764968 17.6097 1.11732 promoter-TSS sick
chr2L 19903741 0.411458 7.32491 0.333263 intron sick
chr2L 19904916 0.515329 16.0824 1.30703 intron sick
chr2L 19905411 0.222219 17.4422 0.994026 intron lncRNA:CR43097
chr2L 19905903 0.262897 15.3133 0.991727 intron lncRNA:CR43097
chr2L 19911298 0.210106 8.15616 1.31001 intron lncRNA:CR43097
chr2L 19915377 2.20317 8.8099 3.28018 TTS lncRNA:CR43097
chr2L 19917260 0.940232 16.0402 3.15478 intron Victoria
chr2L 19917912 1.99418 15.8522 1.98411 promoter-TSS sick
chr2L 19921394 0.512264 17.6675 0.753015 promoter-TSS sick
chr2L 19923812 0.268914 17.7175 0.151191 non-coding lncRNA:CR43828
chr2L 19930007 2.1361 6.16849 2.11846 TTS lncRNA:CR43827
chr2L 19930239 1.88216 4.96017 1.99028 intron lncRNA:CR45183
chr2L 19930939 0.627497 11.289 1.6383 intron lncRNA:CR45183
chr2L 19934155 0.260294 10.8859 2.39687 intron lncRNA:CR45183
chr2L 19935338 0.250124 19.2428 2.04736 non-coding lncRNA:CR45183
chr2L 19935973 0.0355266 17.5088 1.62865 promoter-TSS sick
chr2L 19940235 0.461487 7.83365 1.05796 intron sick
chr2L 19941051 1.39104 6.48289 0.626774 intron sick
chr2L 19941402 1.82083 13.7751 2.63545 intron sick
chr2L 19942636 1.15133 12.494 0.0549113 intron sick
chr2L 19943162 0.26582 5.70509 2.47301 intron sick
chr2L 19944022 3.1635 1.7763 0.241297 intron sick
chr2L 19944375 1.78046 6.09807 0.533885 intron sick
chr2L 19948300 1.19926 16.9104 1.45896 intron sick
